grid_height,grid_width,obs_radius,episode,coverage_time,total_reward,final_coverage
25,25,1,1537,1250,333,0.536
25,25,1,1538,1250,324,0.5216
25,25,1,1539,1250,334,0.5376
25,25,1,1540,1250,325,0.5232
25,25,1,1541,1250,308,0.496
25,25,1,1542,1250,303,0.488
25,25,1,1543,1250,331,0.5328
25,25,1,1544,1250,326,0.5248
25,25,1,1545,1250,350,0.5632
25,25,1,1546,1250,332,0.5344
25,25,1,1547,1250,306,0.4928
25,25,1,1548,1250,337,0.5424
25,25,1,1549,1250,336,0.5408
25,25,1,1550,1250,348,0.56
25,25,1,1551,1250,335,0.5392
25,25,1,1552,1250,256,0.4128
25,25,1,1553,1250,329,0.5296
25,25,1,1554,1250,321,0.5168
25,25,1,1555,1250,294,0.4736
25,25,1,1556,1250,336,0.5408
25,25,1,1557,1250,337,0.5424
25,25,1,1558,1250,349,0.5616
25,25,1,1559,1250,342,0.5504
25,25,1,1560,1250,316,0.5088
25,25,1,1561,1250,349,0.5616
25,25,1,1562,1250,321,0.5168
25,25,1,1563,1250,340,0.5472
25,25,1,1564,1250,323,0.52
25,25,1,1565,1250,296,0.4768
25,25,1,1566,1250,297,0.4784
25,25,1,1567,1250,324,0.5216
25,25,1,1568,1250,247,0.3984
25,25,1,1569,1250,320,0.5152
25,25,1,1570,1250,332,0.5344
25,25,1,1571,1250,342,0.5504
25,25,1,1572,1250,336,0.5408
25,25,1,1573,1250,354,0.5696
25,25,1,1574,1250,318,0.512
25,25,1,1575,1250,340,0.5472
25,25,1,1576,1250,347,0.5584
25,25,1,1577,1250,310,0.4992
25,25,1,1578,1250,304,0.4896
25,25,1,1579,1250,330,0.5312
25,25,1,1580,1250,314,0.5056
25,25,1,1581,1250,306,0.4928
25,25,1,1582,1250,310,0.4992
25,25,1,1583,1250,304,0.4896
25,25,1,1584,1250,291,0.4688
25,25,1,1585,1250,291,0.4688
25,25,1,1586,1250,321,0.5168
25,25,1,1587,1250,326,0.5248
25,25,1,1588,1250,319,0.5136
25,25,1,1589,1250,316,0.5088
25,25,1,1590,1250,340,0.5472
25,25,1,1591,1250,299,0.4816
25,25,1,1592,1250,331,0.5328
25,25,1,1593,1250,339,0.5456
25,25,1,1594,1250,337,0.5424
25,25,1,1595,1250,346,0.5568
25,25,1,1596,1250,270,0.4352
25,25,1,1597,1250,306,0.4928
25,25,1,1598,1250,322,0.5184
25,25,1,1599,1250,316,0.5088
25,25,1,1600,1250,304,0.4896
25,25,1,1601,1250,303,0.488
25,25,1,1602,1250,308,0.496
25,25,1,1603,1250,337,0.5424
25,25,1,1604,1250,303,0.488
25,25,1,1605,1250,314,0.5056
25,25,1,1606,1250,281,0.4528
25,25,1,1607,1250,324,0.5216
25,25,1,1608,1250,331,0.5328
25,25,1,1609,1250,365,0.5872
25,25,1,1610,1250,340,0.5472
25,25,1,1611,1250,290,0.4672
25,25,1,1612,1250,299,0.4816
25,25,1,1613,1250,306,0.4928
25,25,1,1614,1250,343,0.552
25,25,1,1615,1250,324,0.5216
25,25,1,1616,1250,309,0.4976
25,25,1,1617,1250,319,0.5136
25,25,1,1618,1250,321,0.5168
25,25,1,1619,1250,358,0.576
25,25,1,1620,1250,303,0.488
25,25,1,1621,1250,305,0.4912
25,25,1,1622,1250,289,0.4656
25,25,1,1623,1250,315,0.5072
25,25,1,1624,1250,281,0.4528
25,25,1,1625,1250,279,0.4496
25,25,1,1626,1250,322,0.5184
25,25,1,1627,1250,334,0.5376
25,25,1,1628,1250,304,0.4896
25,25,1,1629,1250,296,0.4768
25,25,1,1630,1250,335,0.5392
25,25,1,1631,1250,338,0.544
25,25,1,1632,1250,328,0.528
25,25,1,1633,1250,264,0.4256
25,25,1,1634,1250,325,0.5232
25,25,1,1635,1250,280,0.4512
25,25,1,1636,1250,333,0.536
25,25,1,1637,1250,331,0.5328
25,25,1,1638,1250,337,0.5424
25,25,1,1639,1250,350,0.5632
25,25,1,1640,1250,245,0.3952
25,25,1,1641,1250,349,0.5616
25,25,1,1642,1250,347,0.5584
25,25,1,1643,1250,355,0.5712
25,25,1,1644,1250,332,0.5344
25,25,1,1645,1250,351,0.5648
25,25,1,1646,1250,324,0.5216
25,25,1,1647,1250,324,0.5216
25,25,1,1648,1250,284,0.4576
25,25,1,1649,1250,320,0.5152
25,25,1,1650,1250,310,0.4992
25,25,1,1651,1250,319,0.5136
25,25,1,1652,1250,338,0.544
25,25,1,1653,1250,332,0.5344
25,25,1,1654,1250,291,0.4688
25,25,1,1655,1250,322,0.5184
25,25,1,1656,1250,290,0.4672
25,25,1,1657,1250,269,0.4336
25,25,1,1658,1250,319,0.5136
25,25,1,1659,1250,355,0.5712
25,25,1,1660,1250,287,0.4624
25,25,1,1661,1250,323,0.52
25,25,1,1662,1250,345,0.5552
25,25,1,1663,1250,344,0.5536
25,25,1,1664,1250,340,0.5472
25,25,1,1665,1250,274,0.4416
25,25,1,1666,1250,338,0.544
25,25,1,1667,1250,321,0.5168
25,25,1,1668,1250,294,0.4736
25,25,1,1669,1250,310,0.4992
25,25,1,1670,1250,355,0.5712
25,25,1,1671,1250,321,0.5168
25,25,1,1672,1250,311,0.5008
25,25,1,1673,1250,327,0.5264
25,25,1,1674,1250,336,0.5408
25,25,1,1675,1250,310,0.4992
25,25,1,1676,1250,337,0.5424
25,25,1,1677,1250,288,0.464
25,25,1,1678,1250,320,0.5152
25,25,1,1679,1250,328,0.528
25,25,1,1680,1250,324,0.5216
25,25,1,1681,1250,281,0.4528
25,25,1,1682,1250,335,0.5392
25,25,1,1683,1250,338,0.544
25,25,1,1684,1250,277,0.4464
25,25,1,1685,1250,249,0.4016
25,25,1,1686,1250,313,0.504
25,25,1,1687,1250,316,0.5088
25,25,1,1688,1250,314,0.5056
25,25,1,1689,1250,279,0.4496
25,25,1,1690,1250,306,0.4928
25,25,1,1691,1250,323,0.52
25,25,1,1692,1250,331,0.5328
25,25,1,1693,1250,310,0.4992
25,25,1,1694,1250,345,0.5552
25,25,1,1695,1250,339,0.5456
25,25,1,1696,1250,322,0.5184
25,25,1,1697,1250,305,0.4912
25,25,1,1698,1250,351,0.5648
25,25,1,1699,1250,300,0.4832
25,25,1,1700,1250,329,0.5296
25,25,1,1701,1250,363,0.584
25,25,1,1702,1250,345,0.5552
25,25,1,1703,1250,354,0.5696
25,25,1,1704,1250,312,0.5024
25,25,1,1705,1250,329,0.5296
25,25,1,1706,1250,340,0.5472
25,25,1,1707,1250,339,0.5456
25,25,1,1708,1250,337,0.5424
25,25,1,1709,1250,330,0.5312
25,25,1,1710,1250,362,0.5824
25,25,1,1711,1250,346,0.5568
25,25,1,1712,1250,319,0.5136
25,25,1,1713,1250,363,0.584
25,25,1,1714,1250,329,0.5296
25,25,1,1715,1250,370,0.5952
25,25,1,1716,1250,342,0.5504
25,25,1,1717,1250,324,0.5216
25,25,1,1718,1250,332,0.5344
25,25,1,1719,1250,358,0.576
25,25,1,1720,1250,353,0.568
25,25,1,1721,1250,358,0.576
25,25,1,1722,1250,377,0.6064
25,25,1,1723,1250,352,0.5664
25,25,1,1724,1250,329,0.5296
25,25,1,1725,1250,312,0.5024
25,25,1,1726,1250,321,0.5168
25,25,1,1727,1250,327,0.5264
25,25,1,1728,1250,373,0.6
25,25,1,1729,1250,375,0.6032
25,25,1,1730,1250,333,0.536
25,25,1,1731,1250,336,0.5408
25,25,1,1732,1250,345,0.5552
25,25,1,1733,1250,376,0.6048
25,25,1,1734,1250,302,0.4864
25,25,1,1735,1250,323,0.52
25,25,1,1736,1250,317,0.5104
25,25,1,1737,1250,339,0.5456
25,25,1,1738,1250,320,0.5152
25,25,1,1739,1250,334,0.5376
25,25,1,1740,1250,354,0.5696
25,25,1,1741,1250,332,0.5344
25,25,1,1742,1250,351,0.5648
25,25,1,1743,1250,328,0.528
25,25,1,1744,1250,337,0.5424
25,25,1,1745,1250,338,0.544
25,25,1,1746,1250,337,0.5424
25,25,1,1747,1250,301,0.4848
25,25,1,1748,1250,351,0.5648
25,25,1,1749,1250,344,0.5536
25,25,1,1750,1250,335,0.5392
25,25,1,1751,1250,311,0.5008
25,25,1,1752,1250,300,0.4832
25,25,1,1753,1250,329,0.5296
25,25,1,1754,1250,318,0.512
25,25,1,1755,1250,298,0.48
25,25,1,1756,1250,347,0.5584
25,25,1,1757,1250,337,0.5424
25,25,1,1758,1250,311,0.5008
25,25,1,1759,1250,319,0.5136
25,25,1,1760,1250,311,0.5008
25,25,1,1761,1250,326,0.5248
25,25,1,1762,1250,336,0.5408
25,25,1,1763,1250,324,0.5216
25,25,1,1764,1250,328,0.528
25,25,1,1765,1250,349,0.5616
25,25,1,1766,1250,354,0.5696
25,25,1,1767,1250,345,0.5552
25,25,1,1768,1250,317,0.5104
25,25,1,1769,1250,358,0.576
25,25,1,1770,1250,309,0.4976
25,25,1,1771,1250,335,0.5392
25,25,1,1772,1250,366,0.5888
25,25,1,1773,1250,332,0.5344
25,25,1,1774,1250,295,0.4752
25,25,1,1775,1250,331,0.5328
25,25,1,1776,1250,324,0.5216
25,25,1,1777,1250,337,0.5424
25,25,1,1778,1250,306,0.4928
25,25,1,1779,1250,335,0.5392
25,25,1,1780,1250,315,0.5072
25,25,1,1781,1250,314,0.5056
25,25,1,1782,1250,327,0.5264
25,25,1,1783,1250,321,0.5168
25,25,1,1784,1250,373,0.6
25,25,1,1785,1250,330,0.5312
25,25,1,1786,1250,313,0.504
25,25,1,1787,1250,349,0.5616
25,25,1,1788,1250,345,0.5552
25,25,1,1789,1250,334,0.5376
25,25,1,1790,1250,295,0.4752
25,25,1,1791,1250,295,0.4752
25,25,1,1792,1250,334,0.5376
25,25,1,1793,1250,336,0.5408
25,25,1,1794,1250,284,0.4576
25,25,1,1795,1250,308,0.496
25,25,1,1796,1250,349,0.5616
25,25,1,1797,1250,371,0.5968
25,25,1,1798,1250,353,0.568
25,25,1,1799,1250,367,0.5904
25,25,1,1800,1250,341,0.5488
25,25,1,1801,1250,357,0.5744
25,25,1,1802,1250,351,0.5648
25,25,1,1803,1250,332,0.5344
25,25,1,1804,1250,325,0.5232
25,25,1,1805,1250,362,0.5824
25,25,1,1806,1250,314,0.5056
25,25,1,1807,1250,303,0.488
25,25,1,1808,1250,342,0.5504
25,25,1,1809,1250,381,0.6128
25,25,1,1810,1250,318,0.512
25,25,1,1811,1250,322,0.5184
25,25,1,1812,1250,322,0.5184
25,25,1,1813,1250,275,0.4432
25,25,1,1814,1250,282,0.4544
25,25,1,1815,1250,317,0.5104
25,25,1,1816,1250,310,0.4992
25,25,1,1817,1250,322,0.5184
25,25,1,1818,1250,268,0.432
25,25,1,1819,1250,303,0.488
25,25,1,1820,1250,354,0.5696
25,25,1,1821,1250,354,0.5696
25,25,1,1822,1250,309,0.4976
25,25,1,1823,1250,341,0.5488
25,25,1,1824,1250,354,0.5696
25,25,1,1825,1250,297,0.4784
25,25,1,1826,1250,288,0.464
25,25,1,1827,1250,282,0.4544
25,25,1,1828,1250,330,0.5312
25,25,1,1829,1250,287,0.4624
25,25,1,1830,1250,218,0.352
25,25,1,1831,1250,287,0.4624
25,25,1,1832,1250,290,0.4672
25,25,1,1833,1250,280,0.4512
25,25,1,1834,1250,325,0.5232
25,25,1,1835,1250,344,0.5536
25,25,1,1836,1250,355,0.5712
25,25,1,1837,1250,325,0.5232
25,25,1,1838,1250,324,0.5216
25,25,1,1839,1250,278,0.448
25,25,1,1840,1250,282,0.4544
25,25,1,1841,1250,342,0.5504
25,25,1,1842,1250,298,0.48
25,25,1,1843,1250,274,0.4416
25,25,1,1844,1250,285,0.4592
25,25,1,1845,1250,257,0.4144
25,25,1,1846,1250,213,0.344
25,25,1,1847,1250,261,0.4208
25,25,1,1848,1250,281,0.4528
25,25,1,1849,1250,300,0.4832
25,25,1,1850,1250,331,0.5328
25,25,1,1851,1250,311,0.5008
25,25,1,1852,1250,327,0.5264
25,25,1,1853,1250,299,0.4816
25,25,1,1854,1250,361,0.5808
25,25,1,1855,1250,305,0.4912
25,25,1,1856,1250,341,0.5488
25,25,1,1857,1250,305,0.4912
25,25,1,1858,1250,328,0.528
25,25,1,1859,1250,351,0.5648
25,25,1,1860,1250,356,0.5728
25,25,1,1861,1250,325,0.5232
25,25,1,1862,1250,354,0.5696
25,25,1,1863,1250,355,0.5712
25,25,1,1864,1250,348,0.56
25,25,1,1865,1250,311,0.5008
25,25,1,1866,1250,347,0.5584
25,25,1,1867,1250,302,0.4864
25,25,1,1868,1250,334,0.5376
25,25,1,1869,1250,342,0.5504
25,25,1,1870,1250,360,0.5792
25,25,1,1871,1250,339,0.5456
25,25,1,1872,1250,371,0.5968
25,25,1,1873,1250,326,0.5248
25,25,1,1874,1250,312,0.5024
25,25,1,1875,1250,347,0.5584
25,25,1,1876,1250,316,0.5088
25,25,1,1877,1250,222,0.3584
25,25,1,1878,1250,342,0.5504
25,25,1,1879,1250,367,0.5904
25,25,1,1880,1250,358,0.576
25,25,1,1881,1250,332,0.5344
25,25,1,1882,1250,311,0.5008
25,25,1,1883,1250,232,0.3744
25,25,1,1884,1250,320,0.5152
25,25,1,1885,1250,331,0.5328
25,25,1,1886,1250,311,0.5008
25,25,1,1887,1250,323,0.52
25,25,1,1888,1250,329,0.5296
25,25,1,1889,1250,332,0.5344
25,25,1,1890,1250,350,0.5632
25,25,1,1891,1250,309,0.4976
25,25,1,1892,1250,293,0.472
25,25,1,1893,1250,300,0.4832
25,25,1,1894,1250,336,0.5408
25,25,1,1895,1250,305,0.4912
25,25,1,1896,1250,339,0.5456
25,25,1,1897,1250,336,0.5408
25,25,1,1898,1250,377,0.6064
25,25,1,1899,1250,327,0.5264
25,25,1,1900,1250,370,0.5952
25,25,1,1901,1250,339,0.5456
25,25,1,1902,1250,296,0.4768
25,25,1,1903,1250,290,0.4672
25,25,1,1904,1250,322,0.5184
25,25,1,1905,1250,336,0.5408
25,25,1,1906,1250,296,0.4768
25,25,1,1907,1250,309,0.4976
25,25,1,1908,1250,329,0.5296
25,25,1,1909,1250,344,0.5536
25,25,1,1910,1250,290,0.4672
25,25,1,1911,1250,324,0.5216
25,25,1,1912,1250,272,0.4384
25,25,1,1913,1250,299,0.4816
25,25,1,1914,1250,286,0.4608
25,25,1,1915,1250,304,0.4896
25,25,1,1916,1250,334,0.5376
25,25,1,1917,1250,315,0.5072
25,25,1,1918,1250,349,0.5616
25,25,1,1919,1250,330,0.5312
25,25,1,1920,1250,338,0.544
25,25,1,1921,1250,317,0.5104
25,25,1,1922,1250,337,0.5424
25,25,1,1923,1250,336,0.5408
25,25,1,1924,1250,330,0.5312
25,25,1,1925,1250,339,0.5456
25,25,1,1926,1250,312,0.5024
25,25,1,1927,1250,298,0.48
25,25,1,1928,1250,324,0.5216
25,25,1,1929,1250,335,0.5392
25,25,1,1930,1250,358,0.576
25,25,1,1931,1250,351,0.5648
25,25,1,1932,1250,312,0.5024
25,25,1,1933,1250,342,0.5504
25,25,1,1934,1250,304,0.4896
25,25,1,1935,1250,312,0.5024
25,25,1,1936,1250,326,0.5248
25,25,1,1937,1250,375,0.6032
25,25,1,1938,1250,333,0.536
25,25,1,1939,1250,350,0.5632
25,25,1,1940,1250,320,0.5152
25,25,1,1941,1250,352,0.5664
25,25,1,1942,1250,358,0.576
25,25,1,1943,1250,294,0.4736
25,25,1,1944,1250,331,0.5328
25,25,1,1945,1250,334,0.5376
25,25,1,1946,1250,366,0.5888
25,25,1,1947,1250,330,0.5312
25,25,1,1948,1250,344,0.5536
25,25,1,1949,1250,330,0.5312
25,25,1,1950,1250,322,0.5184
25,25,1,1951,1250,289,0.4656
25,25,1,1952,1250,305,0.4912
25,25,1,1953,1250,346,0.5568
25,25,1,1954,1250,319,0.5136
25,25,1,1955,1250,293,0.472
25,25,1,1956,1250,334,0.5376
25,25,1,1957,1250,353,0.568
25,25,1,1958,1250,328,0.528
25,25,1,1959,1250,311,0.5008
25,25,1,1960,1250,347,0.5584
25,25,1,1961,1250,345,0.5552
25,25,1,1962,1250,335,0.5392
25,25,1,1963,1250,334,0.5376
25,25,1,1964,1250,343,0.552
25,25,1,1965,1250,337,0.5424
25,25,1,1966,1250,344,0.5536
25,25,1,1967,1250,283,0.456
25,25,1,1968,1250,320,0.5152
25,25,1,1969,1250,344,0.5536
25,25,1,1970,1250,330,0.5312
25,25,1,1971,1250,309,0.4976
25,25,1,1972,1250,323,0.52
25,25,1,1973,1250,273,0.44
25,25,1,1974,1250,327,0.5264
25,25,1,1975,1250,304,0.4896
25,25,1,1976,1250,317,0.5104
25,25,1,1977,1250,311,0.5008
25,25,1,1978,1250,348,0.56
25,25,1,1979,1250,339,0.5456
25,25,1,1980,1250,377,0.6064
25,25,1,1981,1250,348,0.56
25,25,1,1982,1250,351,0.5648
25,25,1,1983,1250,393,0.632
25,25,1,1984,1250,329,0.5296
25,25,1,1985,1250,329,0.5296
25,25,1,1986,1250,285,0.4592
25,25,1,1987,1250,301,0.4848
25,25,1,1988,1250,305,0.4912
25,25,1,1989,1250,324,0.5216
25,25,1,1990,1250,332,0.5344
25,25,1,1991,1250,353,0.568
25,25,1,1992,1250,332,0.5344
25,25,1,1993,1250,311,0.5008
25,25,1,1994,1250,332,0.5344
25,25,1,1995,1250,368,0.592
25,25,1,1996,1250,339,0.5456
25,25,1,1997,1250,324,0.5216
25,25,1,1998,1250,324,0.5216
25,25,1,1999,1250,353,0.568
25,25,1,2000,1250,200,0.3232
